id,student_name,age,admission,major_id
0,백연윤,24,2021,13
1,이청수,21,2024,4
2,전지진,22,2023,16
3,안성재,25,2020,14
4,허서인,24,2021,14
5,손산형,23,2022,9
6,이아희,26,2019,9
7,이승규,24,2021,14
8,유희윤,24,2021,8
9,김준환,26,2019,14
10,손미린,21,2024,11
11,조승근,25,2020,11
12,이가희,25,2020,12
13,박정후,20,2025,17
14,이지빈,25,2020,6
15,공준용,26,2019,7
16,오지주,20,2025,11
17,유홍홍,26,2019,15
18,권민연,25,2020,1
19,임두면,25,2020,14
20,안은지,24,2021,10
21,최한용,24,2021,5
22,이지서,22,2023,6
23,박재운,20,2025,9
24,정유연,24,2021,13
25,최광현,21,2024,6
26,윤주현,21,2024,9
27,천찬균,21,2024,13
28,김주경,22,2023,13
29,양진재,24,2021,10
30,김서서,24,2021,8
31,안형현,20,2025,12
32,이희윤,20,2025,4
33,최현진,23,2022,9
34,김민은,22,2023,7
35,한상한,24,2021,14
36,최서련,23,2022,14
37,문세성,22,2023,7
38,정유우,22,2023,9
39,이민신,20,2025,12
40,박지연,26,2019,14
41,김용훈,20,2025,16
42,김은은,24,2021,9
43,송민호,21,2024,10
44,김다재,20,2025,15
45,박재준,21,2024,17
46,김지은,22,2023,16
47,이연진,24,2021,7
48,박혀현,25,2020,14
49,백준유,26,2019,10
50,장시민,26,2019,17
51,최유웅,21,2024,11
52,김연민,25,2020,10
53,윤정견,21,2024,14
54,전주현,23,2022,8
55,권동태,21,2024,7
56,배지혜,20,2025,7
57,이희환,22,2023,13
58,주예선,24,2021,14
59,강성호,25,2020,5
60,김소연,21,2024,11
61,강영성,26,2019,5
62,이민연,23,2022,12
63,방상찬,23,2022,12
64,김저원,20,2025,10
65,정문준,22,2023,14
66,배지안,23,2022,12
67,김주훈,20,2025,13
68,김슨현,23,2022,13
69,서재진,25,2020,15
70,안인현,20,2025,11
71,안주석,24,2021,10
72,권미빈,25,2020,15
73,서태원,26,2019,8
74,이지연,24,2021,10
75,강용훈,26,2019,14
76,신현원,25,2020,11
77,정성민,23,2022,10
78,신저은,20,2025,7
79,오민현,22,2023,10
80,이지빈,23,2022,1
81,전낭연,22,2023,7
82,송지정,26,2019,7
83,정형민,24,2021,8
84,박세연,23,2022,13
85,김성철,22,2023,14
86,김희저,22,2023,12
87,박태성,23,2022,11
88,윤예연,25,2020,3
89,양숭성,22,2023,5
90,김민현,20,2025,13
91,박연운,23,2022,6
92,김지민,21,2024,14
93,김진호,20,2025,11
94,박미아,23,2022,11
95,조요유,20,2025,16
96,김서경,26,2019,3
97,홍민한,26,2019,10
98,강보현,22,2023,7
99,이연운,25,2020,4
100,허혜아,22,2023,4
101,현창석,22,2023,16
102,이도윤,25,2020,6
103,김성환,24,2021,12
104,김채진,24,2021,7
105,장용현,23,2022,13
106,김다원,24,2021,11
107,이정주,23,2022,1
108,엄기은,22,2023,11
109,이겅푱,25,2020,13
110,김소서,22,2023,6
111,김재찬,22,2023,13
112,박서영,22,2023,12
113,김승훈,20,2025,7
114,안지언,20,2025,5
115,정운호,23,2022,15
116,권지린,25,2020,12
117,이성현,20,2025,16
118,장예영,23,2022,3
119,김진헌,23,2022,5
120,김미정,20,2025,2
121,김우운,20,2025,9
122,조수희,24,2021,10
123,김성태,23,2022,8
124,하유린,20,2025,7
125,채상원,24,2021,8
126,강연인,23,2022,13
127,김혜주,21,2024,9
128,이나연,26,2019,8
129,민인녕,22,2023,7
130,박안진,23,2022,12
131,임현원,23,2022,13
132,허민저,22,2023,10
133,황승주,24,2021,12
134,남예서,21,2024,11
135,김현조,25,2020,15
136,송저영,20,2025,8
137,김태호,25,2020,14
138,정서영,20,2025,11
139,강창민,20,2025,11
140,유세연,21,2024,9
141,박성주,21,2024,12
142,채연경,23,2022,6
143,김동현,22,2023,11
144,김채선,25,2020,6
145,염상석,21,2024,14
146,박민영,20,2025,6
147,주둥수,22,2023,5
148,오민서,23,2022,13
149,최이균,23,2022,15
150,임승희,22,2023,2
151,장운성,22,2023,9
152,양수은,25,2020,8
153,정동훈,21,2024,17
154,김민연,21,2024,12
155,맹성현,22,2023,13
156,문해윤,20,2025,10
157,김민찬,26,2019,6
158,이저윤,20,2025,12
159,권상아,26,2019,8
160,김태현,23,2022,10
161,김주석,22,2023,12
162,이다연,20,2025,4
163,한항인,25,2020,12
164,박수원,20,2025,12
165,김찬준,23,2022,11
166,김시경,25,2020,7
167,장민태,25,2020,14
168,김은연,24,2021,12
169,이혀보,22,2023,6
170,박지솔,21,2024,11
171,이종원,24,2021,11
172,조혜은,23,2022,6
173,김강훈,21,2024,11
174,최수혜,21,2024,16
175,김준근,23,2022,16
176,성소윤,21,2024,14
177,이진준,23,2022,11
178,신수진,23,2022,17
179,박겅우,22,2023,15
180,진현우,22,2023,12
181,이겅훙,26,2019,13
182,김나현,22,2023,10
183,김유수,22,2023,11
184,김원민,23,2022,14
185,임민재,22,2023,12
186,김유은,25,2020,14
187,김윤훈,21,2024,12
188,안새현,21,2024,8
189,유상현,24,2021,11
190,김승진,22,2023,7
191,황당현,22,2023,9
192,이어주,23,2022,11
193,윤긴환,22,2023,14
194,오수린,22,2023,6
195,정상호,25,2020,5
196,김고빈,22,2023,10
197,송동준,26,2019,7
198,이혜은,25,2020,16
199,배형홍,24,2021,14
200,이미연,24,2021,8
201,강지준,22,2023,8
202,조저희,20,2025,8
203,금운재,24,2021,3
204,노자원,20,2025,10
205,김운섭,24,2021,13
206,이소윤,24,2021,1
207,김재운,23,2022,10
208,구유경,23,2022,11
209,신성민,24,2021,12
210,김가원,25,2020,3
211,민회인,20,2025,11
212,장유아,24,2021,13
213,이영빈,23,2022,13
214,박효연,21,2024,9
215,권동푱,24,2021,6
216,김나연,24,2021,10
217,김현호,20,2025,7
218,이희은,22,2023,14
219,김정원,22,2023,11
220,김차진,21,2024,10
221,전긴현,25,2020,7
222,우주현,25,2020,10
223,이인석,26,2019,9
224,윤민연,21,2024,11
225,오상운,21,2024,7
226,정주은,24,2021,12
227,김창호,22,2023,4
228,최저은,22,2023,3
229,백성원,22,2023,9
230,김해현,22,2023,5
231,송민진,23,2022,9
232,고채저,20,2025,16
233,권홍수,26,2019,17
234,나애빈,24,2021,13
235,박현우,22,2023,5
236,손혜원,22,2023,10
237,김문성,20,2025,5
238,이해진,21,2024,8
239,정태구,22,2023,12
240,구채저,26,2019,11
241,금규호,21,2024,5
242,조지연,20,2025,14
243,정태견,23,2022,15
244,최예연,25,2020,9
245,박병현,20,2025,12
246,심지린,26,2019,8
247,하재후,24,2021,16
248,곽시나,22,2023,11
249,강동현,22,2023,6
250,박수저,26,2019,2
251,최벙연,25,2020,6
252,주다원,20,2025,14
253,김창태,24,2021,10
254,나다은,23,2022,6
255,김병호,23,2022,5
256,이유주,26,2019,11
257,정경민,23,2022,10
258,성다원,25,2020,6
259,노민원,20,2025,11
260,김보현,21,2024,13
261,이종진,20,2025,12
262,장채린,23,2022,11
263,오승오,24,2021,13
264,박시윤,24,2021,15
265,김영준,23,2022,9
266,김소원,20,2025,6
267,황의천,26,2019,2
268,박세경,22,2023,8
269,김평후,20,2025,13
270,한서라,20,2025,5
271,김정현,23,2022,9
272,정아희,26,2019,6
273,한승소,22,2023,8
274,양유민,20,2025,12
275,박정호,25,2020,14
276,홍서희,23,2022,8
277,지태운,26,2019,1
278,권지진,26,2019,6
279,곽강규,23,2022,1
280,정지현,24,2021,12
281,임상호,24,2021,6
282,신주예,26,2019,15
283,김윤진,25,2020,9
284,하민수,21,2024,5
285,오긴론,24,2021,13
286,서채현,21,2024,7
287,이용후,22,2023,11
288,윤서안,26,2019,11
289,박승현,25,2020,12
290,유주현,22,2023,2
291,이시성,26,2019,5
292,임유채,26,2019,12
293,안민찬,24,2021,5
294,신하은,23,2022,16
295,황태진,23,2022,13
296,강보서,21,2024,11
297,최경현,23,2022,14
298,이지연,21,2024,14
299,양원운,25,2020,10
300,박보연,22,2023,6
301,박한균,20,2025,10
302,최세희,20,2025,14
303,남경석,25,2020,7
304,박저연,23,2022,8
305,심겅현,26,2019,3
306,박서예,24,2021,16
307,이태화,26,2019,14
308,오지영,24,2021,10
309,이지운,23,2022,9
310,박현연,20,2025,10
311,권종규,20,2025,10
312,신윤어,22,2023,9
313,이영현,20,2025,7
314,민도린,22,2023,5
315,김응보,26,2019,14
316,김민형,22,2023,12
317,신승연,21,2024,15
318,이유재,24,2021,13
319,박창환,25,2020,6
320,김윤연,20,2025,11
321,심세준,25,2020,12
322,양수윤,21,2024,8
323,정주환,24,2021,13
324,김예나,26,2019,13
325,조윤준,26,2019,14
326,강예진,22,2023,3
327,김찬준,26,2019,10
328,권저원,24,2021,6
329,성시번,22,2023,14
330,손현연,26,2019,13
331,황승성,25,2020,8
332,허세경,22,2023,11
333,김태민,21,2024,15
334,홍희린,23,2022,14
335,이동균,23,2022,3
336,김저경,21,2024,11
337,정용진,22,2023,2
338,한지연,24,2021,14
339,윤전신,25,2020,6
340,안은정,22,2023,4
341,박운의,20,2025,13
342,김서련,26,2019,10
343,김재연,25,2020,11
344,김은연,25,2020,9
345,곽연석,22,2023,14
346,이저영,22,2023,4
347,조대준,20,2025,13
348,김지연,25,2020,5
349,권동신,24,2021,9
350,유희현,25,2020,12
351,양동진,22,2023,13
352,이하민,26,2019,10
353,김은석,24,2021,12
354,오나연,22,2023,13
355,김한우,25,2020,10
356,유지진,21,2024,5
357,김인형,21,2024,9
358,곽예진,25,2020,10
359,박성현,23,2022,14
360,김지린,24,2021,10
361,성상문,24,2021,11
362,권예민,20,2025,5
363,한병운,21,2024,16
364,라수영,25,2020,7
365,이성원,20,2025,3
366,이지린,20,2025,11
367,정면연,22,2023,12
368,송가은,21,2024,8
369,노현진,26,2019,8
370,박초진,25,2020,10
371,백용준,24,2021,4
372,조하연,22,2023,4
373,김준주,20,2025,7
374,이이빈,22,2023,14
375,이동원,22,2023,6
376,임채영,22,2023,7
377,송정현,21,2024,15
378,윤주서,21,2024,17
379,조민현,24,2021,8
380,박지현,24,2021,5
381,이긴주,20,2025,7
382,안다연,20,2025,15
383,권현황,22,2023,5
384,허가원,25,2020,12
385,박승항,23,2022,12
386,권소아,23,2022,13
387,김태원,21,2024,13
388,공유정,23,2022,15
389,김겅관,21,2024,12
390,오다은,21,2024,11
391,민민용,20,2025,13
392,이유은,24,2021,8
393,김준우,20,2025,14
394,박서예,25,2020,12
395,서덩회,21,2024,5
396,전서현,20,2025,12
397,이문석,26,2019,2
398,박지연,22,2023,12
399,주연원,25,2020,16
400,정다린,24,2021,5
401,김재덩,26,2019,11
402,양호연,24,2021,14
403,강민휘,21,2024,13
404,김유혜,25,2020,6
405,나민훈,24,2021,13
406,이최은,26,2019,13
407,정병혼,20,2025,17
408,손소영,25,2020,2
409,서희원,21,2024,8
410,김유안,20,2025,12
411,구민와,22,2023,13
412,조유주,23,2022,11
413,강성현,25,2020,15
414,박채현,25,2020,10
415,권친윤,20,2025,11
416,김예전,26,2019,12
417,송민준,25,2020,5
418,이주희,23,2022,15
419,명재헉,26,2019,14
420,김서주,24,2021,13
421,홍건요,26,2019,9
422,홍수호,22,2023,13
423,박상긍,25,2020,10
424,김지서,23,2022,13
425,홍지석,26,2019,15
426,백서빈,24,2021,10
427,조대준,24,2021,11
428,오현연,20,2025,9
429,김영현,26,2019,14
430,이지희,25,2020,9
431,김진운,26,2019,14
432,최사민,21,2024,13
433,이현진,22,2023,9
434,정저은,22,2023,1
435,조성고,22,2023,10
436,박승민,24,2021,16
437,박상호,20,2025,8
438,최태수,26,2019,9
439,김재민,22,2023,8
440,이지진,22,2023,10
441,이성권,26,2019,17
442,신유서,21,2024,12
443,정항원,26,2019,12
444,김예리,26,2019,17
445,이시운,20,2025,10
446,백서윤,21,2024,13
447,공주구,25,2020,16
448,왕민하,22,2023,9
449,박군수,26,2019,14
450,한민희,23,2022,11
451,권민영,25,2020,7
452,조재희,24,2021,7
453,김정련,20,2025,3
454,윤유린,25,2020,11
455,최태인,20,2025,13
456,최승은,21,2024,6
457,김창후,22,2023,14
458,김주나,26,2019,5
459,박장훈,26,2019,7
460,김정인,23,2022,7
461,박병완,21,2024,10
462,김서지,21,2024,13
463,이민후,26,2019,9
464,이한나,21,2024,7
465,정민재,20,2025,13
466,문민연,22,2023,11
467,김동중,21,2024,4
468,이다민,22,2023,5
469,김승수,26,2019,11
470,양민서,23,2022,8
471,김건빈,26,2019,7
472,박유희,20,2025,13
473,이동성,21,2024,14
474,김보인,23,2022,14
475,이승번,23,2022,11
476,신도혜,22,2023,3
477,조수호,23,2022,8
478,황유준,22,2023,3
479,최강긴,24,2021,8
480,진지나,24,2021,5
481,임동숭,22,2023,11
482,박미윤,23,2022,6
483,허성석,25,2020,7
484,박규효,20,2025,16
485,이민안,22,2023,9
486,김소견,20,2025,16
487,허용빈,25,2020,13
488,인수현,22,2023,3
489,오벙주,24,2021,14
490,김희지,20,2025,17
491,장수운,23,2022,9
492,윤서서,26,2019,12
493,이운순,25,2020,8
494,정아서,23,2022,4
495,차휘현,23,2022,11
496,김소민,26,2019,13
497,송규희,24,2021,11
498,황세원,26,2019,10
499,이홍성,20,2025,13
500,조현서,21,2024,12
501,박항현,25,2020,6
502,임승나,26,2019,13
503,김용수,21,2024,6
504,이혜진,21,2024,14
505,진긴우,26,2019,7
506,조수연,23,2022,12
507,고병주,22,2023,5
508,강민지,25,2020,13
509,이찬혁,23,2022,11
510,강초경,23,2022,10
511,홍재은,24,2021,14
512,이은진,24,2021,12
513,이재유,26,2019,12
514,이혀원,26,2019,10
515,황성양,26,2019,6
516,이연원,23,2022,11
517,장항무,23,2022,12
518,곽서린,25,2020,12
519,반민숭,26,2019,8
520,전지영,21,2024,10
521,김원진,22,2023,16
522,김나주,21,2024,11
523,김성긴,25,2020,1
524,이수미,20,2025,11
525,원주훈,21,2024,8
526,김서린,25,2020,13
527,조주주,22,2023,12
528,오승주,22,2023,8
529,조승민,24,2021,17
530,신가저,20,2025,13
531,박성번,22,2023,4
532,조성원,22,2023,2
533,서항연,25,2020,6
534,이다경,23,2022,11
535,김항헌,25,2020,8
536,정서윤,22,2023,2
537,이동석,26,2019,11
538,김미현,24,2021,12
